,year,total_renewable_energy(%),Country_code,country,is_aggregate
532,1992,72.052987934556,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
535,1992,17.1858871999502,WLD,World,True
545,1992,86.3259492641678,LDC,Least developed countries: UN classification,True
546,1992,31.3669679433488,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
557,1992,31.6961970158176,LAC,Latin America & Caribbean (excluding high income),True
571,1992,31.6994200114385,LCN,Latin America & Caribbean,True
573,1992,20.4372203034671,LTE,Late-demographic dividend,True
587,1992,22.7264611309833,IBD,IBRD only,True
588,1992,68.3437531466331,IDA,IDA total,True
590,1992,77.7057673476839,IDX,IDA only,True
605,1992,59.9077616761631,IDB,IDA blend,True
607,1992,27.7909190550675,IBT,IDA & IBRD total,True
634,1992,87.0333745710884,HPC,Heavily indebted poor countries (HIPC),True
647,1992,7.46780616301649,EUU,European Union,True
649,1992,4.48197474453354,TEC,Europe & Central Asia (IDA & IBRD countries),True
662,1992,5.2060411365564,ECA,Europe & Central Asia (excluding high income),True
664,1992,6.223148349601,ECS,Europe & Central Asia,True
678,1992,6.8962603947921,EMU,Euro area,True
679,1992,36.5601561798501,TEA,East Asia & Pacific (IDA & IBRD countries),True
698,1992,35.7775078548785,EAP,East Asia & Pacific (excluding high income),True
710,1992,25.572050365807,EAS,East Asia & Pacific,True
712,1992,34.2391135694075,EAR,Early-demographic dividend,True
726,1992,5.37930366966089,CEB,Central Europe and the Baltics,True
728,1992,12.2946280991736,CSS,Caribbean small states,True
729,1992,63.9407887013287,AFE,Africa Eastern and Southern,True
734,1993,6.88176292261053,ARB,Arab World,True
739,1993,7.89678626065615,EUU,European Union,True
745,1993,87.5515390596414,HPC,Heavily indebted poor countries (HIPC),True
750,1993,29.3073690109274,OSS,Other small states,True
751,1993,47.6801075268817,PSS,Pacific island small states,True
752,1993,78.4579539197218,PRE,Pre-demographic dividend,True
754,1993,26.7999609069586,SST,Small states,True
763,1993,64.6519649122807,AFE,Africa Eastern and Southern,True
770,1993,7.19209000591033,CEB,Central Europe and the Baltics,True
775,1993,72.973559128037,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
777,1993,72.973559128037,SSF,Sub-Saharan Africa,True
780,1993,33.2724459672308,MIC,Middle income,True
786,1993,17.2074395489013,WLD,World,True
789,1993,6.25577051874498,NAC,North America,True
793,1993,15.0227413292101,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
797,1993,33.9949226983813,EAR,Early-demographic dividend,True
806,1993,15.0061303859724,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
813,1993,10.7492804743053,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
818,1993,24.7852675238187,EAS,East Asia & Pacific,True
846,1993,35.0093273861541,TEA,East Asia & Pacific (IDA & IBRD countries),True
847,1993,34.3544497702893,EAP,East Asia & Pacific (excluding high income),True
859,1993,86.7447862460972,LDC,Least developed countries: UN classification,True
866,1993,34.6636608545319,LMY,Low & middle income,True
871,1993,7.00983798246383,EMU,Euro area,True
876,1993,30.9743028581153,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
877,1993,31.1382505291514,LAC,Latin America & Caribbean (excluding high income),True
881,1993,20.551629115011,LTE,Late-demographic dividend,True
884,1993,6.62553578805038,ECS,Europe & Central Asia,True
891,1993,31.1011774075509,LCN,Latin America & Caribbean,True
896,1993,68.9369704699761,IDA,IDA total,True
912,1993,59.975270861053,IDB,IDA blend,True
917,1993,6.14972262075562,ECA,Europe & Central Asia (excluding high income),True
920,1993,79.1203545557254,IDX,IDA only,True
936,1993,5.05682908740215,TEC,Europe & Central Asia (IDA & IBRD countries),True
948,1993,22.9937230271798,IBD,IBRD only,True
956,1993,28.1286394893098,IBT,IDA & IBRD total,True
957,1993,7.39950792493411,OED,OECD members,True
959,1993,72.9851939347896,SSA,Sub-Saharan Africa (excluding high income),True
963,1993,12.5732765957447,CSS,Caribbean small states,True
965,1993,54.0745773556611,TSA,South Asia (IDA & IBRD),True
970,1993,54.0745773556611,SAS,South Asia,True
976,1993,6.50343586324313,PST,Post-demographic dividend,True
979,1993,85.1032323232323,AFW,Africa Western and Central,True
984,1994,50.3763358778626,PSS,Pacific island small states,True
986,1994,6.39081681625634,PST,Post-demographic dividend,True
989,1994,34.9164576883584,LMY,Low & middle income,True
998,1994,27.3390033720495,SST,Small states,True
1001,1994,79.1869329770026,PRE,Pre-demographic dividend,True
1002,1994,30.5070840197694,OSS,Other small states,True
1006,1994,8.00067229458726,EUU,European Union,True
1010,1994,7.04010373047707,ARB,Arab World,True
1014,1994,23.5810926986981,IBD,IBRD only,True
1019,1994,52.9489181705338,TSA,South Asia (IDA & IBRD),True
1022,1994,11.5356101304682,CSS,Caribbean small states,True
1026,1994,28.9421331678293,IBT,IDA & IBRD total,True
1034,1994,73.7011693237597,SSA,Sub-Saharan Africa (excluding high income),True
1036,1994,7.21905538938641,OED,OECD members,True
1037,1994,73.6882287927643,SSF,Sub-Saharan Africa,True
1038,1994,73.6882287927643,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
1052,1994,7.52104320960919,CEB,Central Europe and the Baltics,True
1061,1994,5.26184026266628,TEC,Europe & Central Asia (IDA & IBRD countries),True
1069,1994,6.09935636868088,NAC,North America,True
1072,1994,6.79432456156392,ECA,Europe & Central Asia (excluding high income),True
1077,1994,61.2096290598787,IDB,IDA blend,True
1080,1994,17.3572712155107,WLD,World,True
1087,1994,14.5122921719129,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
1094,1994,79.8089848157581,IDX,IDA only,True
1096,1994,33.4709749692311,MIC,Middle income,True
1100,1994,14.4957864922109,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
1110,1994,70.0215397421799,IDA,IDA total,True
1115,1994,33.1860010554254,EAR,Early-demographic dividend,True
1127,1994,24.039720251699,EAS,East Asia & Pacific,True
1132,1994,10.3448126889541,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
1141,1994,6.87364643401988,ECS,Europe & Central Asia,True
1143,1994,21.3029954062602,LTE,Late-demographic dividend,True
1164,1994,7.22195672541618,EMU,Euro area,True
1168,1994,30.7352128121832,LCN,Latin America & Caribbean,True
1179,1994,30.8304630905293,LAC,Latin America & Caribbean (excluding high income),True
1180,1994,30.6396443730315,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
1188,1994,33.7261575052438,EAP,East Asia & Pacific (excluding high income),True
1189,1994,34.2678739101274,TEA,East Asia & Pacific (IDA & IBRD countries),True
1191,1994,86.4549482646711,LDC,Least developed countries: UN classification,True
1210,1994,87.2296112056552,HPC,Heavily indebted poor countries (HIPC),True
1215,1994,52.9489181705338,SAS,South Asia,True
1227,1994,65.1450669770894,AFE,Africa Eastern and Southern,True
1228,1994,86.5576852698994,AFW,Africa Western and Central,True
1229,1995,64.7215351777626,AFE,Africa Eastern and Southern,True
1241,1995,6.67730116013849,PST,Post-demographic dividend,True
1242,1995,34.0889571874426,LMY,Low & middle income,True
1251,1995,85.42524597215,LDC,Least developed countries: UN classification,True
1269,1995,30.4255552427766,LAC,Latin America & Caribbean (excluding high income),True
1270,1995,30.3146251010021,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
1274,1995,32.0422847299416,EAP,East Asia & Pacific (excluding high income),True
1276,1995,32.477202742625,TEA,East Asia & Pacific (IDA & IBRD countries),True
1279,1995,7.08256422707981,EMU,Euro area,True
1283,1995,30.3094212714592,LCN,Latin America & Caribbean,True
1316,1995,10.2127240387398,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
1320,1995,6.96369848177,ECS,Europe & Central Asia,True
1334,1995,23.1191177109259,EAS,East Asia & Pacific,True
1340,1995,20.981021904095,LTE,Late-demographic dividend,True
1349,1995,14.225720179502,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
1350,1995,70.1586524561145,IDA,IDA total,True
1357,1995,79.3798535638404,IDX,IDA only,True
1359,1995,32.5970325790297,MIC,Middle income,True
1364,1995,14.2088438747128,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
1369,1995,6.91547198501664,ECA,Europe & Central Asia (excluding high income),True
1374,1995,61.5601804472698,IDB,IDA blend,True
1378,1995,32.7615896402531,EAR,Early-demographic dividend,True
1388,1995,5.39400633991709,TEC,Europe & Central Asia (IDA & IBRD countries),True
1396,1995,6.67915757127841,NAC,North America,True
1406,1995,73.3062196050858,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
1409,1995,7.83252476162055,CEB,Central Europe and the Baltics,True
1413,1995,17.4243468135946,WLD,World,True
1414,1995,28.6551456955689,IBT,IDA & IBRD total,True
1418,1995,8.01520831104931,EUU,European Union,True
1422,1995,73.317893246081,SSA,Sub-Saharan Africa (excluding high income),True
1424,1995,7.53037720554075,OED,OECD members,True
1425,1995,73.3062196050858,SSF,Sub-Saharan Africa,True
1432,1995,23.1890866208429,IBD,IBRD only,True
1439,1995,11.130225782957,CSS,Caribbean small states,True
1448,1995,86.9331011400481,HPC,Heavily indebted poor countries (HIPC),True
1453,1995,51.8197161177282,SAS,South Asia,True
1454,1995,47.1890625,PSS,Pacific island small states,True
1461,1995,28.7000931098696,SST,Small states,True
1463,1995,79.3193081563145,PRE,Pre-demographic dividend,True
1466,1995,51.8197161177282,TSA,South Asia (IDA & IBRD),True
1467,1995,33.4118737890949,OSS,Other small states,True
1474,1995,86.1480939845959,AFW,Africa Western and Central,True
1476,1995,6.91827670984717,ARB,Arab World,True
1478,1996,6.69588195046661,PST,Post-demographic dividend,True
1479,1996,85.1186481720936,AFW,Africa Western and Central,True
1483,1996,14.0781195718511,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
1489,1996,14.0935283719079,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
1495,1996,23.6024113455693,IBD,IBRD only,True
1499,1996,78.9738225047206,PRE,Pre-demographic dividend,True
1507,1996,78.37885521287,IDX,IDA only,True
1512,1996,86.6106829873325,HPC,Heavily indebted poor countries (HIPC),True
1514,1996,33.2301717305152,OSS,Other small states,True
1517,1996,51.2621451760216,SAS,South Asia,True
1518,1996,46.7028277634961,PSS,Pacific island small states,True
1520,1996,61.4657403543909,IDB,IDA blend,True
1532,1996,10.8703004891684,CSS,Caribbean small states,True
1541,1996,69.6558692720438,IDA,IDA total,True
1547,1996,51.2621451760216,TSA,South Asia (IDA & IBRD),True
1557,1996,72.4116833248631,SSF,Sub-Saharan Africa,True
